Security Code & Security Name	ISIN Code	Date Listed	Market	Industrial Group	CFICode	Remarks
Stocks
1101¡@TCC	TW0001101004	1962/02/09	TWSE LISTED	Cement	ESVUFR	
1102¡@ACC	TW0001102002	1962/06/08	TWSE LISTED	Cement	ESVUFR	
1103¡@CHC	TW0001103000	1969/11/14	TWSE LISTED	Cement	ESVUFR	
1104¡@UCC	TW0001104008	1971/02/01	TWSE LISTED	Cement	ESVUFR	
1108¡@LUCKY CEMENT	TW0001108009	1990/06/06	TWSE LISTED	Cement	ESVUFR	
1109¡@HSINGTA	TW0001109007	1991/12/05	TWSE LISTED	Cement	ESVUFR	
1110¡@TUNA CEMENT	TW0001110005	1994/10/22	TWSE LISTED	Cement	ESVUFR	
1201¡@WEI CHUAN	TW0001201002	1962/02/09	TWSE LISTED	Food	ESVUFR	
1203¡@VE WONG	TW0001203008	1964/08/24	TWSE LISTED	Food	ESVUFR	
1210¡@GREATWALL	TW0001210003	1978/05/20	TWSE LISTED	Food	ESVUFR	
1213¡@OCEANIC BEVERAGE	TW0001213007	1981/04/10	TWSE LISTED	Food	ESVUFR	
1215¡@CPE	TW0001215002	1987/07/27	TWSE LISTED	Food	ESVUFR	
1216¡@UNI-PRESIDENT	TW0001216000	1987/12/28	TWSE LISTED	Food	ESVUFR	
1217¡@AGV	TW0001217008	1989/10/28	TWSE LISTED	Food	ESVUFR	
1218¡@TAISUN	TW0001218006	1989/11/11	TWSE LISTED	Food	ESVUFR	
1219¡@FWUSOW	TW0001219004	1990/12/01	TWSE LISTED	Food	ESVUFR	
1220¡@TAIROUN	TW0001220002	1991/11/20	TWSE LISTED	Food	ESVUFR	
1225¡@FOPCO	TW0001225001	1993/09/27	TWSE LISTED	Food	ESVUFR	
1227¡@S.F.C	TW0001227007	1994/04/09	TWSE LISTED	Food	ESVUFR	
1229¡@LHIHC	TW0001229003	1976/07/19	TWSE LISTED	Food	ESVUFR	
1231¡@LIAN HWA FOODS	TW0001231009	1995/11/02	TWSE LISTED	Food	ESVUFR	
1232¡@TTET	TW0001232007	1996/02/09	TWSE LISTED	Food	ESVUFR	
1233¡@TEN REN	TW0001233005	1999/01/20	TWSE LISTED	Food	ESVUFR	
1234¡@HEY-SONG	TW0001234003	1999/03/12	TWSE LISTED	Food	ESVUFR	
1235¡@ST	TW0001235000	2000/09/11	TWSE LISTED	Food	ESVUFR	
1236¡@HUNYA	TW0001236008	2001/09/17	TWSE LISTED	Food	ESVUFR	
1256¡@SUNJUICE	KYG858681003	2016/03/17	TWSE LISTED	Food	ESVUFR	
1301¡@FPC	TW0001301000	1964/07/27	TWSE LISTED	Plastic	ESVUFR	
1303¡@NPC	TW0001303006	1967/11/05	TWSE LISTED	Plastic	ESVUFR	
1304¡@USI	TW0001304004	1972/05/20	TWSE LISTED	Plastic	ESVUFR	
1305¡@CGPC	TW0001305001	1973/03/05	TWSE LISTED	Plastic	ESVUFR	
1307¡@SAN FANG	TW0001307007	1985/11/23	TWSE LISTED	Plastic	ESVUFR	
1308¡@APC	TW0001308005	1986/06/20	TWSE LISTED	Plastic	ESVUFR	
1309¡@TTC	TW0001309003	1986/06/27	TWSE LISTED	Plastic	ESVUFR	
1310¡@T.S.M.C.	TW0001310001	1987/08/06	TWSE LISTED	Plastic	ESVUFR	
1312¡@GPPC	TW0001312007	1988/12/21	TWSE LISTED	Plastic	ESVUFR	
1313¡@UPC	TW0001313005	1989/03/27	TWSE LISTED	Plastic	ESVUFR	
1314¡@CPDC	TW0001314003	1991/07/12	TWSE LISTED	Plastic	ESVUFR	
1315¡@TAH HSIN	TW0001315000	1992/05/09	TWSE LISTED	Plastic	ESVUFR	
1316¡@SUN YAD	TW0001316008	1992/10/15	TWSE LISTED	Building Material&Construction	ESVUFR	
1319¡@OTN	TW0001319002	1994/12/12	TWSE LISTED	Automobile	ESVUFR	
1321¡@OPC	TW0001321008	1999/01/26	TWSE LISTED	Plastic	ESVUFR	
1323¡@YONYU	TW0001323004	2000/09/11	TWSE LISTED	Plastic	ESVUFR	
1324¡@GLOBE TAPE	TW0001324002	2000/09/11	TWSE LISTED	Plastic	ESVUFR	
1325¡@UK	TW0001325009	2000/09/11	TWSE LISTED	Plastic	ESVUFR	
1326¡@FCFC	TW0001326007	1984/12/20	TWSE LISTED	Plastic	ESVUFR	
1337¡@ASIA PLASTIC	KYG0539R1039	2011/07/01	TWSE LISTED	Plastic	ESVUFR	
1338¡@HIROCA	KYG451001070	2012/12/19	TWSE LISTED	Automobile	ESVUFR	
1339¡@Y.C.C.	TW0001339000	2012/04/24	TWSE LISTED	Automobile	ESVUFR	
1340¡@VICTORY	KYG935971054	2013/12/06	TWSE LISTED	Plastic	ESVUFR	
1341¡@FULIN-KY	KYG3730M1050	2018/12/24	TWSE LISTED	Plastic	ESVUFR	
1402¡@FENC	TW0001402006	1967/04/14	TWSE LISTED	Textile	ESVUFR	
1409¡@SSFC	TW0001409001	1973/08/31	TWSE LISTED	Textile	ESVUFR	
1410¡@NYDF	TW0001410009	1973/10/18	TWSE LISTED	Textile	ESVUFR	
1413¡@H.C.	TW0001413003	1975/12/23	TWSE LISTED	Textile	ESVUFR	
1414¡@TUNG HO	TW0001414001	1976/02/02	TWSE LISTED	Textile	ESVUFR	
1416¡@KFIC	TW0001416006	1976/04/20	TWSE LISTED	Others	ESVUFR	
1417¡@CARNIVAL	TW0001417004	1976/12/28	TWSE LISTED	Textile	ESVUFR	
1418¡@TONG-HWA	TW0001418002	1977/02/14	TWSE LISTED	Textile	ESVUFR	
1419¡@SHINKO.TEXTILE	TW0001419000	1977/03/14	TWSE LISTED	Textile	ESVUFR	
1423¡@REWARD WOOL	TW0001423002	1979/04/02	TWSE LISTED	Textile	ESVUFR	
1432¡@TAROKO	TW0001432003	1982/07/26	TWSE LISTED	Trading & Consumers Goods	ESVUFR	
1434¡@F.T.C	TW0001434009	1985/12/24	TWSE LISTED	Textile	ESVUFR	
1435¡@C.F.CORP.	TW0001435006	1987/12/28	TWSE LISTED	Others	ESVUFR	
1436¡@HUA YU LIEN	TW0001436004	1988/04/11	TWSE LISTED	Building Material&Construction	ESVUFR	
1437¡@GTM	TW0001437002	1988/11/10	TWSE LISTED	Others	ESVUFR	
1438¡@SANDI	TW0001438000	1988/12/15	TWSE LISTED	Building Material&Construction	ESVUFR	
1439¡@CWT	TW0001439008	1989/05/22	TWSE LISTED	Textile	ESVUFR	
1440¡@TAINAN SPINNING	TW0001440006	1989/10/03	TWSE LISTED	Textile	ESVUFR	
1441¡@TAH TONG	TW0001441004	1989/10/27	TWSE LISTED	Textile	ESVUFR	
1442¡@ADVANCETEK	TW0001442002	1989/11/16	TWSE LISTED	Building Material&Construction	ESVUFR	
1443¡@LILYTEXTILE	TW0001443000	1990/04/21	TWSE LISTED	Textile	ESVUFR	
1444¡@LEALEA	TW0001444008	1990/08/08	TWSE LISTED	Textile	ESVUFR	
1445¡@UNIVERSAL	TW0001445005	1991/02/05	TWSE LISTED	Textile	ESVUFR	
1446¡@HONG HO	TW0001446003	1991/10/15	TWSE LISTED	Textile	ESVUFR	
1447¡@LP	TW0001447001	1992/01/28	TWSE LISTED	Textile	ESVUFR	
